restaurant_index,crime_index,health_index,transit_index,housing_index,census_tract_geoid
0.461083967620704,0.30738931174713596,0.409852415662848,0.51231551957856,0.51231551957856,36005000400
0.44112877325628463,0.44112877325628463,0.14704292441876157,0.7352146220938078,0.22056438662814232,36005001901
0.44112877325628463,0.44112877325628463,0.14704292441876157,0.7352146220938078,0.22056438662814232,36005001902
0.44112877325628463,0.44112877325628463,0.14704292441876157,0.7352146220938078,0.22056438662814232,36005001903
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005002002
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005002500
0.4472135954999579,0.4472135954999579,0.14907119849998599,0.7453559924999299,0.14907119849998599,36005002701
0.39999999999999997,0.39999999999999997,0.13333333333333333,0.6666666666666666,0.4666666666666666,36005002702
0.4330127018922193,0.4330127018922193,0.14433756729740646,0.7216878364870322,0.2886751345948129,36005002800
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005003100
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005003300
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005003500
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005003900
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005004001
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005004100
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005004200
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005004300
0.3348873433115685,0.3348873433115685,0.3907019005301633,0.5581455721859475,0.5581455721859475,36005004400
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005004600
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005004800
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005005001
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005005002
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005005100
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005005200
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005005400
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005005600
0.39999999999999997,0.39999999999999997,0.4666666666666666,0.6666666666666666,0.13333333333333333,36005005902
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005006000
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005006100
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005006200
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005006301
0.39562828403747224,0.39562828403747224,0.4615663313770509,0.6593804733957871,0.19781414201873612,36005006302
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005006400
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005006500
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005006700
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005006900
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007000
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007100
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007200
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007300
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007500
0.36514837167011077,0.36514837167011077,0.4260064336151292,0.6085806194501846,0.4260064336151292,36005007600
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005007700
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005007800
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005007900
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005008300
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005008500
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005008700
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005008900
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009000
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009200
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009301
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009302
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009600
0.3897418814769785,0.3897418814769785,0.45469886172314156,0.6495698024616309,0.25982792098465235,36005009800
