census_tract_geoid,restaurant_index,crime_index,transit_index,health_index,housing_index
36005000400,0.3874699902147676,0.33333333333333337,0.10967741935483856,0.320836097828002,0.2449681254924432
36005001901,0.5396726047529372,0.3361462728551337,0.006451612903225592,0.314180779424851,0.09798725019697721
36005001902,0.600599744935411,0.47609001406469775,0.051612903225806195,0.32128771304007453,0.2340806532483346
36005001903,0.26088918850664644,0.14205344585091415,0.03225806451612883,0.313953317525551,0.24939323286861922
36005002002,0.2896032678425677,0.3790436005625878,0.2774193548387095,0.3307674737943759,0.35455912900222036
36005002500,0.5586600331265832,0.8030942334739805,0.42580645161290304,0.3490634386603164,0.5508201418236516
36005002701,0.16961677101229053,0.40857946554149094,0.03225806451612883,0.3131968998915183,0.08373325693001932
36005002702,0.46774074251747866,0.21870604781997194,0.49032258064516104,0.34009844007204787,0.35463075710908953
36005002800,0.5909384148678392,0.4739803094233473,0.225806451612903,0.362695658569086,0.14003294892915974
36005003100,0.540245062620939,0.29254571026722936,0.3096774193548386,0.3292860060376911,0.16803953871499167
36005003300,0.25025913724592347,0.2827004219409284,0.08387096774193531,0.3209040171634102,0.38915550462001275
36005003500,0.5281305259057871,0.36075949367088606,0.23225806451612888,0.3294647423204972,0.3170976291096626
36005003900,0.5942311631134314,0.3656621392190153,0.7161290322580642,0.37091817247376896,0.694362867989399
36005004001,0.4490318522986061,0.1448663853727145,0.1581297306785256,0.31895727632101667,0.13415944416589065
36005004100,0.328115481384025,0.680028129395218,0.07096774193548384,0.32411244710811477,0.30449108230069477
36005004200,0.5098727196012829,0.7939521800281295,0.41935483870967716,0.6046235055025835,0.11575102070052276
36005004300,0.48682034665217105,0.9106891701828413,0.5161290322580642,0.35183202850286555,0.44022634481770645
36005004400,0.5210906589143379,0.41912798874824186,0.038709677419354716,0.31564609973999797,0.05200200558699223
36005004600,0.48685634774110903,0.7334739803094232,0.1419354838709677,0.325344270794367,0.11066542511281421
36005004800,0.4287441683794457,0.45991561181434615,0.23225806451612888,0.22444124571343566,0.38048850368884757
